                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5906,                0.47496,                 1.0956,                0.96019,                0.99387,                0.99247,                0.93735,                0.37891,                0.30791,                0.91893,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                0.58278,                 0.4738,                 1.0893,                0.96745,                0.99375,                0.99143,                0.92892,                0.38434,                0.30598,                 0.9144,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                0.57438,                0.45773,                  1.082,                0.97566,                0.99208,                0.99261,                0.94179,                0.36804,                0.29762,                0.91041,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                0.57339,                0.46046,                 1.0824,                0.98063,                0.99052,                0.99332,                0.93964,                0.37096,                0.29819,                0.91035,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.56648,                0.45545,                 1.0776,                0.98164,                0.99062,                0.99218,                0.94141,                0.36246,                0.29423,                0.90285,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                 0.4476,                 0.3667,                0.97474,                0.98613,                0.98415,                0.99278,                0.93631,                0.37472,                0.29738,                0.90448,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                0.43529,                0.35729,                0.96869,                0.98565,                0.98889,                0.99018,                0.93733,                0.37651,                0.29436,                0.90361,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                0.42589,                0.34598,                0.96333,                0.98487,                0.98944,                0.99183,                0.93512,                0.36986,                0.29204,                0.90203,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                0.41888,                0.33453,                0.95974,                0.98454,                0.99013,                0.99192,                0.94181,                 0.3634,                0.28494,                0.89866,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                 0.4087,                0.32931,                0.95383,                0.98642,                0.98877,                0.99204,                0.94235,                0.35841,                0.28227,                0.89571,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                0.40508,                0.32671,                0.95163,                0.98751,                0.99124,                0.99203,                0.94047,                 0.3519,                0.27936,                0.89331,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.39867,                0.32169,                0.94898,                0.98783,                0.98785,                0.99196,                0.94203,                0.34923,                0.27586,                0.89027,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.39751,                0.32791,                0.94799,                0.98726,                0.99169,                0.99138,                0.94498,                0.34555,                0.27544,                0.88637,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                0.39032,                0.31881,                0.94309,                0.98699,                 0.9925,                0.99198,                0.94617,                0.34473,                0.27301,                0.88723,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                0.38559,                0.31316,                0.93804,                0.98699,                0.99203,                0.99207,                0.94703,                0.34073,                0.27084,                0.88514,             9.3274e-06,             9.3274e-06,             9.3274e-06
