                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3581,                 5.2819,                 4.2325,                0.01836,                0.14043,                0.04242,                0.01478,                 2.9358,                 4.6366,                 4.0154,             0.00010375,             0.00010375,             0.00010375
                      2,                 2.9849,                   4.12,                 3.6482,                0.35011,                0.38241,                0.27032,                0.10311,                 2.2572,                 3.3968,                 3.1365,             0.00020396,             0.00020396,             0.00020396
                      3,                 2.3665,                 3.0414,                 2.9461,                0.57574,                0.58272,                0.64468,                0.34796,                 1.7771,                 1.9089,                 2.5692,             0.00030004,             0.00030004,             0.00030004
                      4,                 1.9045,                 2.3258,                 2.4328,                0.76524,                0.77932,                0.84522,                0.56651,                 1.3568,                 1.2213,                 2.0533,             0.00029441,             0.00029441,             0.00029441
                      5,                 1.5817,                  1.839,                 2.1147,                0.81496,                0.83089,                0.89402,                0.65688,                 1.0837,                  1.056,                 1.8172,             0.00028821,             0.00028821,             0.00028821
                      6,                 1.3816,                 1.5554,                 1.9016,                0.88353,                 0.8703,                 0.9147,                0.70242,                0.99108,                0.91021,                 1.6715,             0.00028201,             0.00028201,             0.00028201
                      7,                 1.2277,                 1.3531,                 1.7379,                0.93424,                0.91731,                 0.9245,                0.74086,                0.87194,                0.81554,                 1.5124,             0.00027582,             0.00027582,             0.00027582
                      8,                  1.137,                 1.2203,                 1.6391,                 0.9644,                0.91983,                0.93689,                0.76529,                0.81887,                0.73803,                 1.4489,             0.00026962,             0.00026962,             0.00026962
                      9,                 1.0639,                 1.1314,                 1.5638,                0.95651,                0.92022,                0.93908,                0.80311,                0.70171,                0.68467,                 1.3321,             0.00026342,             0.00026342,             0.00026342
                     10,                 1.0059,                 1.0666,                 1.5086,                0.96522,                0.92955,                0.93981,                0.79266,                0.72471,                 0.6634,                 1.3197,             0.00025722,             0.00025722,             0.00025722
                     11,                0.97473,                 1.0363,                 1.4719,                0.97263,                0.92923,                0.94205,                 0.8121,                0.65608,                0.63689,                 1.2678,             0.00025103,             0.00025103,             0.00025103
                     12,                0.93653,                0.98431,                 1.4432,                0.97268,                0.92806,                0.98489,                0.84126,                 0.6209,                0.60369,                 1.2287,             0.00024483,             0.00024483,             0.00024483
                     13,                0.87702,                 0.9129,                 1.3748,                 0.9805,                0.92694,                0.95629,                0.83582,                0.58131,                 0.5769,                 1.1861,             0.00023863,             0.00023863,             0.00023863
                     14,                 0.8608,                0.86615,                 1.3542,                0.97612,                0.93335,                0.96375,                0.84218,                0.57344,                0.53392,                 1.1692,             0.00023243,             0.00023243,             0.00023243
                     15,                0.84404,                0.83309,                 1.3351,                0.97781,                0.93595,                0.96441,                0.85731,                0.53911,                0.51496,                  1.133,             0.00022624,             0.00022624,             0.00022624
                     16,                0.82006,                0.81308,                 1.3172,                0.98064,                0.93839,                0.96456,                0.85065,                0.56623,                0.52413,                 1.1467,             0.00022004,             0.00022004,             0.00022004
                     17,                0.79107,                0.77482,                 1.2844,                0.97744,                0.94171,                0.96607,                0.86159,                0.52053,                0.50418,                 1.0987,             0.00021384,             0.00021384,             0.00021384
                     18,                0.77211,                 0.7486,                 1.2685,                0.95334,                0.99057,                0.98854,                0.89095,                0.50148,                0.50027,                 1.0833,             0.00020764,             0.00020764,             0.00020764
                     19,                 0.7528,                0.72758,                 1.2548,                0.95079,                0.98992,                0.98889,                0.88652,                0.50724,                0.47425,                 1.0838,             0.00020145,             0.00020145,             0.00020145
                     20,                0.73639,                0.70326,                 1.2363,                0.96651,                0.98954,                0.98963,                0.89234,                0.47172,                0.45272,                 1.0599,             0.00019525,             0.00019525,             0.00019525
                     21,                0.72523,                 0.6892,                 1.2226,                0.96945,                0.98679,                0.98896,                0.89636,                0.47652,                0.44563,                 1.0555,             0.00018905,             0.00018905,             0.00018905
                     22,                0.71227,                0.68499,                 1.2215,                0.97111,                0.98813,                0.98969,                0.90325,                0.46899,                0.42906,                 1.0495,             0.00018285,             0.00018285,             0.00018285
                     23,                0.70486,                0.65268,                 1.2019,                0.96838,                0.98966,                0.98929,                0.90635,                0.45431,                0.42938,                 1.0354,             0.00017666,             0.00017666,             0.00017666
                     24,                0.69267,                0.64641,                 1.1961,                0.98335,                0.98557,                0.98975,                0.90679,                0.45251,                 0.4152,                 1.0261,             0.00017046,             0.00017046,             0.00017046
                     25,                0.67778,                0.62841,                 1.1796,                0.97927,                0.98771,                0.98902,                 0.9087,                0.46451,                0.41276,                 1.0321,             0.00016426,             0.00016426,             0.00016426
                     26,                0.67419,                0.61394,                 1.1744,                0.98738,                0.98504,                0.98994,                0.91278,                0.42887,                0.38948,                 1.0073,             0.00015807,             0.00015807,             0.00015807
                     27,                0.66393,                0.60946,                 1.1719,                0.98094,                0.97753,                0.99075,                0.91246,                0.42773,                0.38016,                 1.0032,             0.00015187,             0.00015187,             0.00015187
                     28,                 0.6546,                0.59606,                 1.1599,                0.98682,                0.98505,                0.98997,                0.92125,                 0.4236,                0.37777,                 1.0004,             0.00014567,             0.00014567,             0.00014567
                     29,                0.66094,                0.60157,                 1.1695,                0.97933,                 0.9877,                0.99001,                0.92734,                0.41247,                0.37164,                0.99202,             0.00013947,             0.00013947,             0.00013947
                     30,                0.63333,                0.56843,                 1.1392,                0.98425,                0.98581,                0.99065,                0.92778,                0.39971,                0.36781,                0.98603,             0.00013328,             0.00013328,             0.00013328
                     31,                0.62905,                0.56878,                 1.1359,                0.97857,                0.98597,                0.99056,                0.92821,                0.39374,                0.35989,                0.97538,             0.00012708,             0.00012708,             0.00012708
                     32,                0.63073,                0.56469,                 1.1361,                0.98136,                0.98554,                0.99113,                0.92849,                0.39381,                0.35783,                 0.9707,             0.00012088,             0.00012088,             0.00012088
                     33,                0.61299,                 0.5488,                 1.1289,                0.98254,                0.98609,                0.99004,                0.92763,                0.39378,                0.35361,                0.97185,             0.00011468,             0.00011468,             0.00011468
                     34,                0.61052,                 0.5425,                 1.1211,                0.98619,                0.98619,                0.99088,                0.93064,                0.38332,                0.34548,                0.97034,             0.00010849,             0.00010849,             0.00010849
                     35,                0.60368,                0.53417,                 1.1174,                0.98286,                0.98689,                 0.9907,                 0.9235,                0.39282,                0.34666,                0.97215,             0.00010229,             0.00010229,             0.00010229
                     36,                 0.6003,                0.52835,                 1.1191,                0.98419,                0.98822,                0.99115,                0.93738,                0.36963,                0.33257,                0.95889,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                0.58859,                0.51626,                 1.1027,                0.98304,                0.98783,                0.99115,                0.93404,                 0.3756,                0.33661,                0.95487,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                0.58544,                0.51395,                 1.1093,                0.98123,                0.98832,                0.99118,                0.92804,                0.37892,                0.33682,                0.95559,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                0.57297,                0.50385,                 1.0914,                0.98816,                0.98613,                 0.9912,                0.94082,                0.35823,                 0.3248,                0.94949,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.57666,                0.50725,                 1.0955,                0.98444,                0.98784,                0.99162,                0.94336,                0.35453,                0.32316,                0.94425,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                0.47532,                0.44996,                 1.0395,                 0.9834,                0.98687,                0.98927,                0.93537,                0.37258,                0.32848,                0.94378,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                0.44875,                0.42403,                 1.0188,                0.98297,                0.98881,                0.98936,                 0.9413,                0.36945,                0.32587,                0.94132,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                  0.437,                0.41441,                 1.0081,                0.98194,                0.98749,                 0.9902,                0.94257,                0.36548,                0.32172,                0.93727,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                0.42935,                0.40768,                 1.0084,                0.98358,                0.98694,                 0.9909,                0.94267,                 0.3534,                0.31015,                0.93148,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.42711,                0.39986,                 1.0059,                 0.9843,                0.98756,                0.99087,                0.94369,                 0.3526,                0.31269,                0.92956,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                 0.4192,                0.39796,                 1.0009,                  0.983,                 0.9875,                0.99066,                0.94748,                0.34106,                0.30897,                 0.9249,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.41294,                0.39099,                0.99396,                0.98148,                0.98932,                0.99088,                0.94628,                0.34375,                0.30724,                0.92517,              2.792e-05,              2.792e-05,              2.792e-05
