                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.35922,                 0.2649,                0.88652,                0.99777,                0.99692,                  0.995,                0.98319,                0.25169,                0.20274,                0.81054,              0.0013268,              0.0013268,              0.0013268
                     37,                0.35237,                0.26129,                0.88486,                 0.9979,                0.99778,                0.99499,                0.98407,                0.23346,                0.19029,                0.80675,               0.001307,               0.001307,               0.001307
                     38,                0.34247,                0.25961,                0.87928,                0.99717,                0.99894,                  0.995,                0.98451,                0.23549,                0.19294,                0.80729,              0.0012872,              0.0012872,              0.0012872
                     39,                0.34765,                0.25961,                0.87881,                0.99705,                0.99846,                0.99499,                0.98525,                0.24528,                 0.1913,                0.80723,              0.0012674,              0.0012674,              0.0012674
                     40,                0.33525,                0.25458,                0.87539,                0.99717,                0.99821,                0.99499,                0.98551,                0.23526,                0.18896,                0.80438,              0.0012476,              0.0012476,              0.0012476
                     41,                0.34829,                0.25932,                0.87975,                0.99738,                0.99901,                0.99499,                0.98468,                 0.2271,                0.18473,                 0.8025,              0.0012278,              0.0012278,              0.0012278
                     42,                0.33336,                 0.2509,                0.87577,                0.99729,                0.99861,                  0.995,                0.98715,                0.22156,                0.18076,                0.80191,               0.001208,               0.001208,               0.001208
                     43,                0.33721,                0.25158,                0.87761,                0.99656,                0.99849,                0.99499,                0.98553,                0.23149,                0.18429,                0.80228,              0.0011882,              0.0011882,              0.0011882
                     44,                0.32642,                 0.2483,                0.87039,                0.99766,                0.99889,                0.99499,                0.98565,                0.22368,                 0.1857,                0.79972,              0.0011684,              0.0011684,              0.0011684
                     45,                0.32563,                0.24654,                0.87257,                0.99766,                0.99909,                  0.995,                0.98663,                0.22498,                0.18128,                0.80069,              0.0011486,              0.0011486,              0.0011486
                     46,                0.32484,                0.24603,                0.87006,                0.99771,                0.99754,                  0.995,                 0.9874,                0.21988,                0.18093,                0.79681,              0.0011288,              0.0011288,              0.0011288
                     47,                0.32251,                0.24385,                0.86657,                0.99791,                0.99773,                  0.995,                 0.9881,                0.21304,                0.17476,                0.79741,               0.001109,               0.001109,               0.001109
                     48,                0.31838,                0.24328,                0.86746,                0.99716,                0.99901,                0.99493,                0.98834,                0.21779,                0.17803,                 0.7964,              0.0010892,              0.0010892,              0.0010892
                     49,                0.32069,                 0.2421,                0.86824,                0.99722,                0.99926,                0.99499,                 0.9842,                0.23194,                0.18209,                 0.7992,              0.0010694,              0.0010694,              0.0010694
                     50,                0.30802,                0.23571,                0.86544,                0.99725,                0.99914,                0.99499,                0.98665,                 0.2177,                0.17605,                 0.7985,              0.0010496,              0.0010496,              0.0010496
                     51,                0.31062,                 0.2367,                0.86496,                0.99766,                0.99858,                0.99489,                0.98882,                0.21171,                0.17411,                0.79543,              0.0010298,              0.0010298,              0.0010298
                     52,                0.30484,                0.23586,                0.86327,                 0.9979,                0.99683,                  0.995,                0.98658,                0.21698,                0.17351,                0.79715,                0.00101,                0.00101,                0.00101
                     53,                0.30724,                0.23695,                0.86222,                0.99729,                0.99872,                0.99498,                0.98787,                0.21011,                0.17362,                0.79246,              0.0009902,              0.0009902,              0.0009902
                     54,                0.29586,                0.22913,                0.85926,                0.99791,                 0.9991,                  0.995,                 0.9894,                0.20546,                0.16652,                0.79388,              0.0009704,              0.0009704,              0.0009704
                     55,                0.29529,                0.22874,                0.85697,                0.99779,                0.99899,                  0.995,                0.99032,                0.19741,                0.16345,                0.79164,              0.0009506,              0.0009506,              0.0009506
                     56,                0.29973,                0.23038,                0.86001,                0.99825,                 0.9984,                  0.995,                0.98954,                0.20403,                0.16832,                0.79161,              0.0009308,              0.0009308,              0.0009308
                     57,                0.30597,                0.23437,                0.85965,                0.99828,                0.99906,                0.99499,                0.98887,                0.21092,                0.16982,                0.79423,               0.000911,               0.000911,               0.000911
                     58,                0.29779,                0.22982,                0.85776,                0.99817,                0.99852,                  0.995,                0.99021,                0.19521,                0.16183,                0.79063,              0.0008912,              0.0008912,              0.0008912
                     59,                0.29293,                0.22466,                0.85693,                0.99754,                0.99937,                  0.995,                 0.9889,                 0.2031,                0.16196,                0.79028,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.2898,                0.22268,                0.85579,                0.99828,                0.99869,                  0.995,                0.99091,                0.18928,                0.15566,                0.78858,              0.0008516,              0.0008516,              0.0008516
                     61,                0.28766,                 0.2219,                 0.8539,                0.99791,                0.99908,                  0.995,                0.99028,                0.19601,                0.16145,                0.78953,              0.0008318,              0.0008318,              0.0008318
                     62,                0.28887,                 0.2243,                0.85512,                0.99852,                0.99845,                  0.995,                0.99005,                0.19836,                0.16148,                0.79133,               0.000812,               0.000812,               0.000812
                     63,                0.28582,                0.22026,                0.85339,                0.99864,                0.99859,                0.99499,                0.99179,                 0.1895,                0.15532,                 0.7883,              0.0007922,              0.0007922,              0.0007922
                     64,                0.28383,                 0.2171,                0.85133,                0.99815,                0.99914,                  0.995,                0.99167,                0.18754,                0.15447,                0.78663,              0.0007724,              0.0007724,              0.0007724
                     65,                0.28126,                0.21857,                0.85064,                0.99865,                0.99893,                  0.995,                0.99127,                0.18593,                0.15229,                0.78859,              0.0007526,              0.0007526,              0.0007526
                     66,                0.27698,                0.21379,                0.85134,                0.99901,                0.99878,                  0.995,                0.99123,                0.18449,                0.15123,                0.78617,              0.0007328,              0.0007328,              0.0007328
                     67,                0.27904,                0.21649,                 0.8505,                0.99847,                0.99914,                  0.995,                0.99042,                 0.1857,                0.15286,                0.78828,               0.000713,               0.000713,               0.000713
                     68,                0.27253,                0.21126,                0.84709,                0.99844,                0.99729,                0.99499,                0.99055,                0.18784,                0.15087,                0.78762,              0.0006932,              0.0006932,              0.0006932
                     69,                0.27466,                0.21356,                0.84525,                0.99877,                0.99864,                  0.995,                0.99185,                0.18287,                0.14966,                0.78579,              0.0006734,              0.0006734,              0.0006734
                     70,                0.27046,                0.21024,                0.84781,                0.99855,                0.99901,                  0.995,                0.99151,                0.17906,                0.14749,                0.78477,              0.0006536,              0.0006536,              0.0006536
                     71,                0.27517,                0.21135,                0.84945,                0.99865,                0.99864,                  0.995,                 0.9915,                0.18148,                0.14959,                0.78523,              0.0006338,              0.0006338,              0.0006338
                     72,                0.26777,                0.20735,                0.84722,                0.99926,                0.99877,                  0.995,                0.99147,                0.17837,                0.14728,                 0.7849,               0.000614,               0.000614,               0.000614
                     73,                0.26325,                0.20447,                0.84549,                0.99923,                0.99889,                  0.995,                0.99238,                0.17486,                0.14617,                0.78365,              0.0005942,              0.0005942,              0.0005942
                     74,                0.26596,                0.20808,                0.84623,                0.99877,                0.99831,                  0.995,                0.99143,                 0.1797,                0.14685,                0.78428,              0.0005744,              0.0005744,              0.0005744
                     75,                0.26363,                0.20453,                0.84268,                0.99938,                0.99914,                  0.995,                0.99225,                0.17296,                0.14363,                0.78225,              0.0005546,              0.0005546,              0.0005546
                     76,                0.26422,                0.20456,                0.84425,                0.99897,                 0.9984,                  0.995,                0.99207,                  0.173,                0.14415,                0.78248,              0.0005348,              0.0005348,              0.0005348
                     77,                0.26192,                0.20449,                0.84214,                0.99717,                0.99881,                0.99498,                0.99208,                0.17094,                0.14338,                0.78221,               0.000515,               0.000515,               0.000515
                     78,                0.25635,                0.20281,                 0.8427,                0.99927,                0.99852,                  0.995,                0.99187,                0.17336,                0.14213,                0.78274,              0.0004952,              0.0004952,              0.0004952
                     79,                0.25757,                0.20005,                0.84308,                0.99877,                0.99892,                  0.995,                0.99272,                  0.167,                0.13835,                0.78154,              0.0004754,              0.0004754,              0.0004754
                     80,                0.25419,                0.19855,                0.84364,                0.99877,                0.99889,                  0.995,                0.99221,                0.16835,                0.13869,                0.78208,              0.0004556,              0.0004556,              0.0004556
                     81,                0.25419,                0.19873,                0.84058,                0.99899,                0.99901,                  0.995,                0.99234,                0.16881,                0.13874,                0.78167,              0.0004358,              0.0004358,              0.0004358
                     82,                0.24768,                0.19559,                0.83881,                0.99864,                0.99869,                  0.995,                0.99255,                0.16753,                0.13727,                 0.7815,               0.000416,               0.000416,               0.000416
                     83,                0.25323,                0.19803,                0.84138,                0.99831,                0.99901,                  0.995,                0.99264,                0.16746,                0.13846,                0.78083,              0.0003962,              0.0003962,              0.0003962
                     84,                0.24921,                0.19518,                0.83734,                0.99938,                0.99905,                  0.995,                0.99286,                0.16702,                0.13568,                0.78058,              0.0003764,              0.0003764,              0.0003764
                     85,                0.24441,                0.19305,                0.83658,                0.99948,                0.99877,                  0.995,                0.99253,                0.16819,                0.13788,                0.78103,              0.0003566,              0.0003566,              0.0003566
                     86,                0.24496,                0.19362,                0.83637,                0.99889,                 0.9992,                  0.995,                0.99257,                0.16702,                 0.1369,                0.77992,              0.0003368,              0.0003368,              0.0003368
                     87,                0.24429,                0.19188,                0.83481,                0.99726,                0.99938,                  0.995,                0.99291,                0.16591,                 0.1362,                0.78056,               0.000317,               0.000317,               0.000317
                     88,                0.24352,                0.19327,                0.83515,                0.99926,                0.99849,                  0.995,                0.99276,                0.16356,                 0.1348,                0.77904,              0.0002972,              0.0002972,              0.0002972
                     89,                0.24027,                0.19062,                0.83252,                0.99828,                0.99906,                  0.995,                0.99296,                0.16184,                0.13388,                0.77886,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.2422,                0.19157,                0.83556,                0.99908,                0.99901,                  0.995,                0.99279,                0.16215,                0.13303,                  0.779,              0.0002576,              0.0002576,              0.0002576
                     91,                0.20374,                0.16398,                0.79651,                0.99943,                0.99803,                  0.995,                0.99171,                0.16915,                0.13962,                0.77721,              0.0002378,              0.0002378,              0.0002378
                     92,                0.19739,                0.15902,                0.79625,                0.99889,                0.99933,                  0.995,                0.99272,                0.16701,                0.13608,                0.77707,               0.000218,               0.000218,               0.000218
                     93,                0.19066,                0.15539,                0.79311,                0.99852,                0.99889,                  0.995,                0.99309,                0.16164,                0.13352,                0.77685,              0.0001982,              0.0001982,              0.0001982
                     94,                0.18789,                0.15329,                0.79367,                0.99914,                0.99943,                  0.995,                0.99286,                 0.1608,                0.13226,                0.77657,              0.0001784,              0.0001784,              0.0001784
                     95,                0.18727,                0.15236,                0.79164,                0.99865,                0.99934,                  0.995,                0.99309,                0.16017,                0.13118,                 0.7762,              0.0001586,              0.0001586,              0.0001586
                     96,                0.18436,                0.14959,                0.78977,                0.99892,                0.99889,                  0.995,                 0.9931,                0.15904,                0.12961,                0.77605,              0.0001388,              0.0001388,              0.0001388
                     97,                0.18271,                0.15017,                 0.7925,                0.99928,                0.99889,                  0.995,                0.99313,                0.15767,                0.12899,                0.77643,               0.000119,               0.000119,               0.000119
                     98,                0.17973,                0.14717,                0.79003,                0.99915,                0.99889,                  0.995,                0.99316,                0.15747,                0.12877,                 0.7758,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.17609,                0.14416,                0.78865,                0.99916,                0.99914,                  0.995,                0.99346,                0.15521,                0.12674,                0.77535,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 0.1763,                0.14495,                0.78922,                0.99853,                0.99938,                  0.995,                0.99343,                0.15329,                0.12606,                0.77491,               5.96e-05,               5.96e-05,               5.96e-05
