                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.81308,                0.83115,                 1.3276,                0.91889,                0.94132,                 0.9388,                0.84231,                0.55743,                0.52871,                 1.1623,             0.00010229,             0.00010229,             0.00010229
                     36,                0.80056,                0.82383,                 1.3087,                0.92799,                 0.9414,                0.93989,                0.84923,                0.54415,                0.52498,                  1.149,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     37,                0.79445,                0.82763,                 1.3129,                0.92977,                0.94026,                0.94009,                0.84153,                0.54155,                0.51862,                 1.1428,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     38,                0.78677,                0.81089,                 1.2979,                0.93125,                0.93428,                0.93959,                0.84672,                0.53846,                0.52004,                 1.1401,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     39,                0.77637,                0.79044,                 1.2879,                0.92799,                0.93946,                0.93908,                  0.851,                0.53336,                0.51636,                 1.1394,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     40,                0.76966,                0.79035,                 1.2831,                0.93033,                0.93619,                0.93931,                0.85448,                0.52379,                0.50585,                  1.124,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     41,                0.67319,                0.82898,                 1.2366,                0.92913,                0.93748,                0.94081,                0.83797,                0.55769,                0.52763,                  1.124,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     42,                0.63467,                0.76314,                 1.2114,                0.92821,                0.94063,                0.94023,                0.84817,                0.54617,                0.51031,                 1.1103,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     43,                0.61151,                0.73954,                 1.1869,                0.93106,                0.93998,                0.94048,                 0.8486,                0.53527,                0.50276,                 1.1038,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     44,                 0.6074,                0.73173,                 1.1857,                0.93647,                0.93528,                0.94047,                0.85177,                0.52555,                0.49192,                 1.0915,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     45,                0.59865,                0.72573,                 1.1837,                0.92653,                0.93947,                0.93883,                0.84993,                0.51843,                0.49595,                 1.0873,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     46,                 0.5743,                0.70525,                 1.1615,                0.92717,                0.94051,                0.93897,                0.85883,                0.49928,                0.48399,                 1.0799,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     47,                0.57695,                0.70247,                 1.1701,                0.93027,                0.93927,                0.94037,                 0.8606,                 0.4946,                0.47527,                 1.0719,              2.792e-05,              2.792e-05,              2.792e-05
                     48,                0.56607,                0.69036,                 1.1565,                0.92804,                0.94017,                0.94013,                0.86351,                 0.4911,                0.47618,                 1.0696,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     49,                 0.5654,                0.68865,                 1.1454,                0.93137,                0.94154,                0.93987,                0.86327,                 0.4919,                0.47061,                 1.0686,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     50,                0.56586,                0.69438,                 1.1659,                0.93204,                0.93893,                0.93985,                0.86461,                0.48361,                0.47207,                 1.0629,             9.3274e-06,             9.3274e-06,             9.3274e-06
