                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49459,                0.40964,                 1.0041,                0.97978,                0.99013,                0.99085,                0.94812,                0.31101,                0.26087,                0.86585,             0.00012582,             0.00012582,             0.00012582
                     37,                 0.4953,                0.40483,                 1.0051,                0.97933,                0.98991,                0.99063,                 0.9456,                0.30734,                0.25808,                0.86141,              0.0001182,              0.0001182,              0.0001182
                     38,                0.48267,                0.39792,                0.99808,                0.98081,                0.99076,                0.99092,                0.95091,                0.30235,                0.25353,                0.86012,             0.00011057,             0.00011057,             0.00011057
                     39,                0.48161,                0.39545,                0.99402,                0.98019,                0.99052,                0.99127,                0.95161,                0.30048,                0.25193,                0.85855,             0.00010295,             0.00010295,             0.00010295
                     40,                 0.4787,                 0.3912,                0.99567,                0.98306,                0.98934,                0.99113,                0.95178,                0.29731,                0.25062,                0.85466,             9.5326e-05,             9.5326e-05,             9.5326e-05
                     41,                0.37381,                0.30463,                0.90503,                0.98179,                  0.991,                0.99142,                0.95265,                0.30086,                0.25192,                0.85626,             8.7703e-05,             8.7703e-05,             8.7703e-05
                     42,                0.36244,                 0.2913,                0.89871,                0.98298,                0.99013,                0.99149,                0.95397,                0.29365,                0.24709,                0.85163,              8.008e-05,              8.008e-05,              8.008e-05
                     43,                0.35012,                0.28557,                0.89151,                0.98032,                 0.9924,                0.99113,                 0.9546,                0.29463,                0.24637,                0.85326,             7.2457e-05,             7.2457e-05,             7.2457e-05
                     44,                0.34411,                0.28019,                0.88559,                0.98118,                 0.9919,                0.99142,                0.95715,                0.28444,                0.23866,                0.84659,             6.4834e-05,             6.4834e-05,             6.4834e-05
                     45,                0.34161,                 0.2776,                0.88614,                0.98144,                0.99329,                0.99166,                0.95877,                0.28169,                0.23565,                0.84587,             5.7211e-05,             5.7211e-05,             5.7211e-05
                     46,                0.33765,                0.27354,                0.88656,                0.98156,                0.99358,                0.99176,                0.95855,                0.27951,                0.23313,                0.84519,             4.9588e-05,             4.9588e-05,             4.9588e-05
                     47,                0.32811,                0.26725,                0.87867,                 0.9821,                0.99246,                0.99168,                0.96128,                0.27511,                0.22998,                0.84281,             4.1965e-05,             4.1965e-05,             4.1965e-05
                     48,                0.32488,                0.26358,                0.87374,                0.98231,                0.99298,                0.99188,                0.96095,                0.27299,                0.22954,                0.84038,             3.4342e-05,             3.4342e-05,             3.4342e-05
                     49,                0.32159,                0.26036,                0.87485,                0.98226,                0.99231,                0.99184,                0.96267,                0.27054,                0.22727,                0.83978,             2.6719e-05,             2.6719e-05,             2.6719e-05
                     50,                0.31943,                 0.2599,                 0.8753,                0.98188,                0.99397,                0.99202,                0.96309,                 0.2699,                0.22578,                   0.84,             1.9096e-05,             1.9096e-05,             1.9096e-05
