                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7814,                 4.1579,                  3.347,                0.61735,                0.55957,                0.59819,                0.35526,                 1.4857,                 1.8508,                 2.2165,              0.0033316,              0.0033316,              0.0033316
                      2,                 1.3035,                 1.8113,                 1.7496,                0.86023,                0.81178,                0.89665,                0.69073,                0.85188,                 1.0561,                 1.4257,              0.0064764,              0.0064764,              0.0064764
                      3,                0.98537,                 1.1842,                 1.4041,                0.92317,                0.89834,                0.95116,                0.77903,                0.66813,                 0.6814,                 1.2161,              0.0094326,              0.0094326,              0.0094326
                      4,                0.82963,                0.83112,                 1.2629,                0.96518,                0.95011,                0.98348,                0.84948,                0.53846,                0.46244,                 1.0927,              0.0091514,              0.0091514,              0.0091514
                      5,                 0.7256,                0.64124,                 1.1806,                0.96955,                0.96622,                0.98702,                0.87418,                0.48969,                0.37696,                 1.0425,              0.0088686,              0.0088686,              0.0088686
                      6,                0.66637,                0.54818,                 1.1332,                0.97722,                0.97694,                0.99001,                0.88929,                0.44204,                0.33094,                 1.0017,              0.0085857,              0.0085857,              0.0085857
                      7,                 0.6259,                0.49222,                 1.1015,                0.97945,                0.98308,                0.99165,                0.90457,                0.41142,                0.29471,                0.97338,              0.0083029,              0.0083029,              0.0083029
                      8,                0.59933,                0.45908,                 1.0829,                0.98395,                0.98444,                0.99242,                0.91504,                0.38936,                0.27313,                0.95272,                0.00802,                0.00802,                0.00802
                      9,                0.57743,                0.43023,                 1.0659,                0.98437,                0.98599,                0.99243,                0.92248,                0.37317,                0.25647,                0.93685,              0.0077371,              0.0077371,              0.0077371
                     10,                0.56034,                0.40751,                 1.0523,                0.98629,                0.98784,                0.99264,                0.92722,                0.35957,                0.24315,                0.92511,              0.0074543,              0.0074543,              0.0074543
                     11,                0.54448,                0.39348,                 1.0427,                0.98662,                0.98778,                0.99318,                0.93232,                 0.3457,                0.23214,                0.91507,              0.0071714,              0.0071714,              0.0071714
                     12,                0.53015,                0.37646,                 1.0311,                0.99061,                0.98787,                0.99302,                0.93793,                0.33409,                0.22152,                0.90483,              0.0068886,              0.0068886,              0.0068886
                     13,                0.51852,                0.36334,                 1.0238,                0.98592,                0.98933,                 0.9931,                0.94038,                 0.3286,                0.21729,                0.90155,              0.0066057,              0.0066057,              0.0066057
                     14,                0.50887,                0.35399,                 1.0171,                0.98924,                0.99062,                0.99334,                0.94396,                 0.3179,                0.20722,                0.89231,              0.0063229,              0.0063229,              0.0063229
                     15,                0.50092,                0.34404,                 1.0117,                0.99044,                0.98869,                 0.9935,                0.94732,                0.31153,                0.20232,                0.88641,                0.00604,                0.00604,                0.00604
                     16,                0.49181,                0.33657,                 1.0065,                0.99084,                0.99087,                0.99342,                0.94887,                 0.3061,                0.19688,                0.88197,              0.0057571,              0.0057571,              0.0057571
                     17,                0.48375,                0.32918,                 1.0002,                0.98877,                0.99143,                0.99337,                0.95093,                0.30243,                0.19308,                0.87808,              0.0054743,              0.0054743,              0.0054743
                     18,                0.47799,                0.32094,                0.99536,                0.98985,                0.99147,                0.99346,                0.95275,                0.29612,                 0.1885,                0.87366,              0.0051914,              0.0051914,              0.0051914
                     19,                0.47032,                0.31417,                0.99132,                 0.9914,                0.99033,                0.99342,                0.95443,                0.29248,                0.18493,                0.87079,              0.0049086,              0.0049086,              0.0049086
                     20,                0.46291,                0.30689,                0.98543,                0.99082,                0.99272,                0.99355,                0.95573,                0.28849,                 0.1814,                0.86701,              0.0046257,              0.0046257,              0.0046257
                     21,                0.45687,                0.30123,                0.98101,                0.99143,                0.99303,                 0.9935,                0.95663,                0.28496,                0.17874,                0.86401,              0.0043429,              0.0043429,              0.0043429
                     22,                 0.4501,                0.29594,                0.97612,                0.99088,                0.99332,                0.99337,                0.95752,                0.28129,                0.17535,                0.86069,                0.00406,                0.00406,                0.00406
                     23,                0.44301,                0.28906,                0.97149,                0.99132,                0.99263,                0.99351,                0.95823,                0.27862,                0.17192,                0.85937,              0.0037771,              0.0037771,              0.0037771
                     24,                0.43731,                0.28365,                0.96922,                0.99082,                0.99434,                0.99355,                0.95939,                0.27569,                0.17036,                0.85681,              0.0034943,              0.0034943,              0.0034943
                     25,                0.43134,                0.27764,                0.96365,                0.99106,                0.99446,                0.99354,                0.96051,                0.27288,                0.16837,                0.85391,              0.0032114,              0.0032114,              0.0032114
                     26,                0.36578,                 0.2291,                0.90295,                0.99157,                0.99374,                0.99368,                0.96145,                0.27185,                0.16628,                0.85291,              0.0029286,              0.0029286,              0.0029286
                     27,                0.35693,                0.22254,                0.89872,                0.99102,                0.99383,                0.99376,                0.96214,                0.26993,                0.16505,                0.85172,              0.0026457,              0.0026457,              0.0026457
                     28,                0.34907,                0.21561,                0.89168,                0.99155,                 0.9937,                0.99379,                0.96269,                0.26782,                0.16323,                0.85029,              0.0023629,              0.0023629,              0.0023629
                     29,                0.34239,                0.20968,                  0.886,                0.99194,                0.99408,                0.99384,                 0.9634,                0.26619,                0.16242,                 0.8491,                0.00208,                0.00208,                0.00208
                     30,                0.33609,                0.20563,                0.88126,                 0.9918,                0.99457,                0.99383,                0.96411,                0.26455,                0.16125,                0.84784,              0.0017971,              0.0017971,              0.0017971
                     31,                0.32832,                0.19967,                 0.8766,                0.99221,                0.99442,                0.99383,                0.96476,                0.26315,                0.16039,                0.84672,              0.0015143,              0.0015143,              0.0015143
                     32,                0.32087,                0.19373,                0.87011,                0.99283,                0.99453,                0.99387,                0.96526,                0.26172,                0.15844,                0.84557,              0.0012314,              0.0012314,              0.0012314
                     33,                 0.3146,                0.18851,                0.86574,                0.99233,                0.99468,                0.99386,                0.96546,                0.26045,                0.15759,                0.84464,             0.00094857,             0.00094857,             0.00094857
                     34,                0.30671,                0.18241,                0.86138,                 0.9923,                0.99492,                0.99386,                 0.9656,                0.25935,                0.15653,                0.84377,             0.00066571,             0.00066571,             0.00066571
                     35,                0.30087,                0.17708,                0.85913,                0.99257,                0.99497,                0.99382,                0.96588,                0.25853,                0.15601,                0.84312,             0.00038286,             0.00038286,             0.00038286
