                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2186,                 2.6873,                 3.7293,                0.00414,                0.14351,                0.00237,                0.00055,                 3.1478,                 3.8508,                 4.2279,             0.00065942,             0.00065942,             0.00065942
                      2,                 2.0615,                 1.5776,                 2.4543,                0.77483,                0.70943,                0.76592,                0.43232,                 1.5378,                 1.4846,                 2.1946,             0.00088848,             0.00088848,             0.00088848
                      3,                 1.4386,                 1.0728,                  1.869,                0.94252,                0.91276,                0.97222,                0.71042,                 1.0142,                0.84503,                 1.5849,             0.00067754,             0.00067754,             0.00067754
